Year,Origin,ovst_est,ovst_lci,ovst_uci,phi_est,phi_lci,phi_uci
2011,Wild,6102.09175,2035.95,9782,0.32664379737013854,0.16262865496106277,0.8141442183085129
2012,Wild,1063.20975,691.975,2129.225000000001,0.7732290394371548,0.35467928645697394,0.9907072997529439
2013,Wild,1737.08175,655.975,4330.475000000002,0.3995583973035093,0.12347279846018755,0.8571482196482196
2014,Wild,3162.9965,1210.9750000000001,7579,0.4195784829116711,0.14002029657576515,0.8748314988930441
2015,Wild,4282.54125,2026,8955.375,0.5361297443924408,0.21679175475309456,0.9535540189790751
2016,Wild,2326.485,964,5944.125,0.4669593369895574,0.14477066044580636,0.9123268548894854
2017,Wild,849.476,321,2101.0750000000003,0.39345042663298824,0.12269364273117905,0.8400280373831777
2018,Wild,382.204,197,912,0.6805824413254996,0.2310842962945093,0.9868071603957537
